name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,State,availability_365,Rating,,,,,,,,,,,,,,,,,,,,,,
Home in Mount Evelyn · 2 bedrooms · 2 beds · 1 private bath,Shaun,Yarra Ranges Shire,-37.7859,145.38638,Private room,23,1,0,,,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Home in Camberwell · 1 bedroom · 1 bed · 1 bath,Hannah,City of Boroondara,-37.84727,145.07037,Private room,13,1,0,,,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Prahran · 2 bedrooms · 1 bed · 1 bath,Clive,City of Stonnington,-37.84797,144.99265,Private room,14,1,1,13/04/2017,0.01,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Bed and breakfast in Keysborough · 2 bedrooms · 1 bed · 1 shared bath,Ash,City of Greater Dandenong,-37.99666,145.1776,Private room,14,1,0,,,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Home in Heidelberg Heights · 1 bedroom · 1 bed · 1 bath,Kiyomi,City of Banyule,-37.74304,145.05278,Private room,15,1,1,28/05/2016,0.01,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Fairfield · 1 bedroom · 1 bed · 1 bath,Alberto,City of Darebin,-37.76737,145.01985,Private room,15,7,0,,,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Place to stay in Noble Park · 1 bedroom · 1 bed · 1 shared bath,Huai,City of Greater Dandenong,-37.95989,145.16861,Private room,15,1,0,,,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Melbourne · ★5.0 · 1 bedroom · 1 shared bath,Rosie,Melbourne,-37.81588,144.95216,Private room,15,1,4,3/11/2019,0.09,3,Victoria,0,5,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Melbourne · 1 bedroom · 0 shared baths,Rosie,Melbourne,-37.81614,144.9539,Shared room,15,1,1,28/12/2019,0.02,3,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Alphington · 1 bedroom · 1 bed · 1 shared bath,Ian,City of Yarra,-37.78428,145.02383,Private room,15,2,0,,,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Southbank · 1 bedroom · 1 bed · 1 shared bath,Sacha,Melbourne,-37.82416,144.9568,Shared room,16,1,0,,,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Home in Doncaster East · 4 bedrooms · 1 bed · 1.5 shared baths,Jayson,City of Manningham,-37.77904,145.16325,Private room,16,3,1,3/05/2018,0.02,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Home in Mount Waverley · 1 bedroom · 1 bed · 1 shared bath,Tong,City of Monash,-37.86675,145.14806,Private room,16,8,0,,,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Windsor · 1 bedroom · 1 bed · 1 shared bath,Milena,City of Stonnington,-37.8528,144.98749,Shared room,17,5,0,,,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Serviced apartment in Flemington · 1 bedroom · 1 bed · 1 shared bath,Anne,Melbourne,-37.78866,144.92081,Shared room,17,1,1,17/01/2019,0.02,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Melbourne · ★4.80 · 1 bedroom · 1 bed · 1 bath,Gj,Melbourne,-37.81065,144.95896,Private room,17,1,11,18/09/2019,0.21,2,Victoria,0,4.8,,,,,,,,,,,,,,,,,,,,,,
Loft in Botany · ★4.33 · 6 bedrooms · 4 beds · 2 shared baths,Tim,"Botany Bay, Derbyshire",-33.94587,151.19333,Private room,17,333,6,11/06/2020,0.12,9,New South Wales,365,4.33,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Brunswick West · 1 bedroom · 1 bed · 1 shared bath,洛楠,City of Merri-bek,-37.75782,144.93902,Shared room,18,4,0,,,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Home in Melton South · ★4.60 · 3 bedrooms · 1 bed · 1 shared bath,Oleg,City of Melton,-37.71172,144.58668,Private room,18,2,6,12/03/2019,0.1,3,Victoria,0,4.6,,,,,,,,,,,,,,,,,,,,,,
Rental unit in St Kilda · 1 bedroom · 1 bed · 1 bath,Zain,Melbourne,-37.86735,144.98434,Private room,18,6,0,,,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Elwood · 1 bedroom · 1 shared bath,Frey,City of Port Phillip,-37.88746,144.98793,Private room,18,4,0,,,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Home in Bankstown · 1 bedroom · 1 bed · 1.5 shared baths,Imran,Bankstown,-33.91756,151.04553,Private room,18,90,1,17/07/2018,0.02,1,New South Wales,0,0,,,,,,,,,,,,,,,,,,,,,,
Home in Quakers Hill · ★4.68 · 1 bedroom · 1 bed · 1 shared bath,Lynette,Blacktown,-33.73318,150.88164,Private room,18,2,22,14/03/2023,0.39,3,New South Wales,0,4.68,,,,,,,,,,,,,,,,,,,,,,
Home in Darlinghurst · 1 bedroom · 1 bed · 1 shared bath,Tracy,Sydney,-33.88242,151.21899,Shared room,18,90,0,,,1,New South Wales,90,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Chippendale · 1 bedroom · 1 bed · 1 shared bath,Riyanti Teresa,Sydney,-33.88601,151.19441,Shared room,18,90,1,16/03/2020,0.02,5,New South Wales,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Caulfield North · 1 bedroom · 1 bed · 1 shared bath,David,City of Glen Eira,-37.86668,145.01956,Shared room,19,14,0,,,2,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Box Hill · 1 bedroom · 1 bed · 1 shared bath,Shivam,City of Whitehorse,-37.82382,145.12093,Private room,19,7,0,,,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Hawthorn · 1 bedroom · 1 bed · 1 shared bath,Jagravi,City of Boroondara,-37.81375,145.02758,Shared room,19,14,0,,,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Kingsford · 1 bedroom · 1 bed · 1 bath,Chandler,Randwick,-33.92247,151.22493,Private room,19,90,0,,,1,New South Wales,0,0,,,,,,,,,,,,,,,,,,,,,,
Guesthouse in Clemton Park · ★4.61 · 3 bedrooms · 1 bed · 3.5 shared baths,Frank,Canterbury,-33.92543,151.10137,Private room,19,2,29,22/01/2022,0.34,1,New South Wales,0,4.61,,,,,,,,,,,,,,,,,,,,,,
Home in Bexley · ★4.50 · 1 bedroom · 1 bed · 2 shared baths,Tim,"Rockdale, New South Wales",-33.95223,151.10792,Private room,19,333,5,19/04/2020,0.1,9,New South Wales,365,4.5,,,,,,,,,,,,,,,,,,,,,,
Loft in Botany · ★4.67 · 4 bedrooms · 1 bed · 2 baths,Tim,"Botany Bay, Derbyshire",-33.94759,151.19793,Private room,19,333,3,22/08/2020,0.07,9,New South Wales,365,4.67,,,,,,,,,,,,,,,,,,,,,,
Home in Bexley · ★4.20 · 1 bedroom · 1 bed · 2 baths,Tim,City of Rockdale,-33.95239,151.10839,Private room,19,333,6,22/08/2020,0.13,9,New South Wales,365,4.2,,,,,,,,,,,,,,,,,,,,,,
Home in Auburn · 1 bedroom · 1 bed · 1.5 shared baths,Jov,Auburn,-33.84684,151.03086,Private room,19,90,0,,,1,New South Wales,0,0,,,,,,,,,,,,,,,,,,,,,,
Home in Bexley · 1 bedroom · 2 beds · 2 shared baths,Tim,"Rockdale, New South Wales",-33.95231,151.10826,Private room,19,111,1,31/03/2020,0.02,9,New South Wales,253,0,,,,,,,,,,,,,,,,,,,,,,
Home in North Sydney  · 1 bedroom · 1 bed · 1.5 shared baths,Michelle,North Sydney,-33.83611,151.20412,Shared room,19,90,0,,,1,New South Wales,0,0,,,,,,,,,,,,,,,,,,,,,,
