,Quarter,Region,State,Purpose,Trips,Latitude,Longitude
1,1/01/1998,Adelaide,South Australia,Business,135.0776903,-34.92123,138.599503
2,1/04/1998,Adelaide,South Australia,Business,109.987316,-34.92123,138.599503
3,1/07/1998,Adelaide,South Australia,Business,166.0346866,-34.92123,138.599503
4,1/10/1998,Adelaide,South Australia,Business,127.1604643,-34.92123,138.599503
5,1/01/1999,Adelaide,South Australia,Business,137.4485333,-34.92123,138.599503
6,1/04/1999,Adelaide,South Australia,Business,199.9125861,-34.92123,138.599503
7,1/07/1999,Adelaide,South Australia,Business,169.3550898,-34.92123,138.599503
8,1/10/1999,Adelaide,South Australia,Business,134.3579372,-34.92123,138.599503
9,1/01/2000,Adelaide,South Australia,Business,154.034398,-34.92123,138.599503
10,1/04/2000,Adelaide,South Australia,Business,168.7763637,-34.92123,138.599503
11,1/07/2000,Adelaide,South Australia,Business,223.0651159,-34.92123,138.599503
12,1/10/2000,Adelaide,South Australia,Business,241.2206893,-34.92123,138.599503
13,1/01/2001,Adelaide,South Australia,Business,132.5000378,-34.92123,138.599503
14,1/04/2001,Adelaide,South Australia,Business,178.3980945,-34.92123,138.599503
15,1/07/2001,Adelaide,South Australia,Business,195.9963258,-34.92123,138.599503
16,1/10/2001,Adelaide,South Australia,Business,101.1746931,-34.92123,138.599503
17,1/01/2002,Adelaide,South Australia,Business,237.8327914,-34.92123,138.599503
18,1/04/2002,Adelaide,South Australia,Business,150.7266327,-34.92123,138.599503
19,1/07/2002,Adelaide,South Australia,Business,167.7128424,-34.92123,138.599503
20,1/10/2002,Adelaide,South Australia,Business,140.3395127,-34.92123,138.599503
21,1/01/2003,Adelaide,South Australia,Business,139.4467919,-34.92123,138.599503
22,1/04/2003,Adelaide,South Australia,Business,159.6580081,-34.92123,138.599503
23,1/07/2003,Adelaide,South Australia,Business,232.1073047,-34.92123,138.599503
24,1/10/2003,Adelaide,South Australia,Business,158.5960175,-34.92123,138.599503
25,1/01/2004,Adelaide,South Australia,Business,138.4674189,-34.92123,138.599503
26,1/04/2004,Adelaide,South Australia,Business,229.7141455,-34.92123,138.599503
27,1/07/2004,Adelaide,South Australia,Business,242.4943675,-34.92123,138.599503
28,1/10/2004,Adelaide,South Australia,Business,123.0611006,-34.92123,138.599503
29,1/01/2005,Adelaide,South Australia,Business,127.9992552,-34.92123,138.599503
30,1/04/2005,Adelaide,South Australia,Business,73.2530124,-34.92123,138.599503
31,1/07/2005,Adelaide,South Australia,Business,166.7247035,-34.92123,138.599503
32,1/10/2005,Adelaide,South Australia,Business,122.2969489,-34.92123,138.599503
33,1/01/2006,Adelaide,South Australia,Business,127.247714,-34.92123,138.599503
34,1/04/2006,Adelaide,South Australia,Business,176.075701,-34.92123,138.599503
35,1/07/2006,Adelaide,South Australia,Business,157.857561,-34.92123,138.599503
36,1/10/2006,Adelaide,South Australia,Business,106.677495,-34.92123,138.599503
37,1/01/2007,Adelaide,South Australia,Business,134.3680297,-34.92123,138.599503
38,1/04/2007,Adelaide,South Australia,Business,168.5935923,-34.92123,138.599503
39,1/07/2007,Adelaide,South Australia,Business,146.1038104,-34.92123,138.599503
40,1/10/2007,Adelaide,South Australia,Business,134.5737045,-34.92123,138.599503
41,1/01/2008,Adelaide,South Australia,Business,127.1683903,-34.92123,138.599503
42,1/04/2008,Adelaide,South Australia,Business,151.9719803,-34.92123,138.599503
43,1/07/2008,Adelaide,South Australia,Business,152.2058109,-34.92123,138.599503
44,1/10/2008,Adelaide,South Australia,Business,160.6362718,-34.92123,138.599503
45,1/01/2009,Adelaide,South Australia,Business,113.8600217,-34.92123,138.599503
46,1/04/2009,Adelaide,South Australia,Business,152.7243494,-34.92123,138.599503
47,1/07/2009,Adelaide,South Australia,Business,121.9832332,-34.92123,138.599503
48,1/10/2009,Adelaide,South Australia,Business,191.1538074,-34.92123,138.599503
49,1/01/2010,Adelaide,South Australia,Business,68.7253928,-34.92123,138.599503
50,1/04/2010,Adelaide,South Australia,Business,182.18332,-34.92123,138.599503
51,1/07/2010,Adelaide,South Australia,Business,120.5336824,-34.92123,138.599503
52,1/10/2010,Adelaide,South Australia,Business,155.0707525,-34.92123,138.599503
53,1/01/2011,Adelaide,South Australia,Business,109.699807,-34.92123,138.599503
54,1/04/2011,Adelaide,South Australia,Business,148.4397274,-34.92123,138.599503
55,1/07/2011,Adelaide,South Australia,Business,140.6574624,-34.92123,138.599503
56,1/10/2011,Adelaide,South Australia,Business,148.815411,-34.92123,138.599503
57,1/01/2012,Adelaide,South Australia,Business,126.8571108,-34.92123,138.599503
58,1/04/2012,Adelaide,South Australia,Business,154.920891,-34.92123,138.599503
59,1/07/2012,Adelaide,South Australia,Business,150.0191305,-34.92123,138.599503
60,1/10/2012,Adelaide,South Australia,Business,178.3637579,-34.92123,138.599503
61,1/01/2013,Adelaide,South Australia,Business,101.6471351,-34.92123,138.599503
62,1/04/2013,Adelaide,South Australia,Business,100.6409434,-34.92123,138.599503
63,1/07/2013,Adelaide,South Australia,Business,179.8741671,-34.92123,138.599503
64,1/10/2013,Adelaide,South Australia,Business,142.8077977,-34.92123,138.599503
65,1/01/2014,Adelaide,South Australia,Business,127.3236791,-34.92123,138.599503
66,1/04/2014,Adelaide,South Australia,Business,139.0854509,-34.92123,138.599503
67,1/07/2014,Adelaide,South Australia,Business,173.3228706,-34.92123,138.599503
68,1/10/2014,Adelaide,South Australia,Business,124.5883668,-34.92123,138.599503
69,1/01/2015,Adelaide,South Australia,Business,143.5832868,-34.92123,138.599503
70,1/04/2015,Adelaide,South Australia,Business,161.3704888,-34.92123,138.599503
71,1/07/2015,Adelaide,South Australia,Business,180.4919573,-34.92123,138.599503
72,1/10/2015,Adelaide,South Australia,Business,179.7114269,-34.92123,138.599503
73,1/01/2016,Adelaide,South Australia,Business,193.3044037,-34.92123,138.599503
74,1/04/2016,Adelaide,South Australia,Business,190.0252157,-34.92123,138.599503
75,1/07/2016,Adelaide,South Australia,Business,195.9832501,-34.92123,138.599503
76,1/10/2016,Adelaide,South Australia,Business,152.4288872,-34.92123,138.599503
77,1/01/1998,Adelaide,South Australia,Holiday,223.5574059,-34.92123,138.599503
78,1/04/1998,Adelaide,South Australia,Holiday,130.287369,-34.92123,138.599503
79,1/07/1998,Adelaide,South Australia,Holiday,156.089398,-34.92123,138.599503
80,1/10/1998,Adelaide,South Australia,Holiday,182.3289795,-34.92123,138.599503
81,1/01/1999,Adelaide,South Australia,Holiday,185.33188,-34.92123,138.599503
82,1/04/1999,Adelaide,South Australia,Holiday,134.6696903,-34.92123,138.599503
